,name,gender,origin,meaning
SİNEM,SİNEM,['f'],['Turkish'],"Means ""my bosom, my breast"" in Turkish."
SŁAWOMIR,SŁAWOMIR,['m'],['Polish'],"Derived from the Slavic element slava meaning ""glory"" combined with meru meaning ""great, famous"" or miru meaning ""peace, world""."
SŁAWOMIRA,SŁAWOMIRA,['f'],['Polish'],Polish feminine form of SŁAWOMIR.
SƠN,SƠN,['m'],['Vietnamese'],"From Sino-Vietnamese 山(sơn) meaning ""mountain""."
TAALAY,TAALAY,['m'],['Kyrgyz'],"Means ""lucky, happy"" in Kyrgyz."
TAAVET,TAAVET,['m'],['Estonian'],Estonian form of DAVID.
TAAVETTI,TAAVETTI,['m'],['Finnish'],Finnish form of DAVID.
TAAVI,TAAVI,['m'],"['Estonian', 'Finnish']",Estonian and Finnish form of DAVID.
TABASSUM,TABASSUM,"['m', 'f']",['Arabic'],"Means ""smiling"" in Arabic."
TABATHA,TABATHA,['f'],['English'],Variant of TABITHA.
TABBY,TABBY,['f'],['English'],Diminutive of TABITHA.
TABEA,TABEA,['f'],['German'],German short form of TABITHA. This form was used in earlier editions of the Luther Bible.
TABITA,TABITA,['f'],['Biblical Latin'],Latin form of TABITHA.
TABITHA,TABITHA,['f'],"['English', 'Biblical', 'Biblical Greek']","Means ""gazelle"" in Aramaic. Tabitha in the New Testament was a woman restored to life by Saint Peter. Her name is translated into Greek as Dorcas (see Acts 9:36). As an English name, Tabitha became common after the Protestant Reformation. It was popularized in the 1960s by the television show 'Bewitched', in which Tabitha (sometimes spelled Tabatha) is the daughter of the main character."
TACEY,TACEY,['f'],['English (Archaic)'],"Derived from Latin tace meaning ""be silent"". It was in use from the 16th century, though it died out two centuries later."
TACITA,TACITA,['f'],['Ancient Roman'],Feminine form of TACITUS.
TACITO,TACITO,['m'],"['Italian (Rare)', 'Spanish (Rare)', 'Portuguese (Rare)']","Italian, Spanish and Portuguese form of TACITUS."
